0001-@	日	日	rì	Sonne, Tag, Datum, Japan	Sonne			Bild einer 日 Sonne, früher rund mit Punkt, jetzt eckig.	生日 = shēng rì = Geburtstag // 節日 = jié rì = Fest, Feiertag // 日記 = rì jì = Tagebuch
0850-1	虫				Insekt/Wurm*			Bild eines 虫 Insekts, eines 虫 Wurms, einer kleinen Schlange.	
0850-@	蟲	虫	chóng	(Insekt)	Insekt/Wurm	Insekt/Wurm* (虫) + Insekt/Wurm* (虫) + Insekt/Wurm* (虫)	Insekt/Wurm* + Insekt/Wurm* + Insekt/Wurm*	蟲 Insekten, Würmer, Käfer - gleich 虫虫虫 3-mal, da sie meist nicht allein auftreten.	蟲子 = chóng zi = Insekt, Wurm // 甲蟲 = jiǎ chóng = Käfer // 毛毛蟲 = máo máo chóng = Raupe
0851-@	蛙	蛙	wā	(Frosch)	Frosch	Insekt/Wurm* (虫) + viel-Land* (圭)	Insekt/Wurm* + viel-Land*	Der 蛙 Frosch ruft 哇 Waah! (口 weggelassen) und ist wenig größer als ein 虫 Wurm oder eine kleine Schlange.	井底之蛙 = jǐng dǐ zhī wā = engstirnig sein (wie ein Frosch im Brunnen) [Redensart] // 青蛙 = qīng wā = Frosch
0852-@	蛇	蛇	shé	Schlange	Schlange	Insekt/Wurm* (虫) + es-(Sachen) (它)	Insekt/Wurm* + es-(Sachen)	Die 蛇 Schlange ist ein Tier; 它 es hat die Größe eines großen 虫 Wurms.	虎頭蛇尾 = hǔ tóu shé wěi = etwas groß anfangen, aber kläglich beenden [Redensart] // 蛇咬傷 = shé yǎo shāng = Schlangenbiß // 毒蛇 = dú shé = Giftschlange, Viper
0853-1	卓				herausragend/hoch*			Eine Person 匕 (kopfüber, verändert) im 比 Vergleich zur 早 aufgehenden Sonne (= 早 früh): 卓 herausragend, hoch.	
0853-@	桌	桌	zhuō	(Tisch)	Tisch	herausragend/hoch* (卓) + Baum/Holz (木)	herausragend/hoch* + Baum/Holz	Ein 桌 Tisch ist ein 卓 hoher Gegenstand aus 木 Holz, höher als ein 几 Tischchen. (Die Komponente 十 im unteren Teil von 卓 wird durch 木 ersetzt.)	桌子 = zhuō zi = Tisch // 桌上電腦 = zhuō shàng diàn nǎo = Desktop-Computer // 桌球 = zhuō qiú = Tischtennis, Ping-Pong
0854-@	掉	掉	diào	herabfallen, verlieren, weg-	herabfallen	Hand (手扌) + herausragend/hoch* (卓)	Hand + herausragend/hoch*	Hält man einen Gegenstand mit den 扌 Händen in einer 卓 hohen Position und läßt ihn los, fällt 掉 er herab.	賣不掉 = mài bù diào = kann nicht verkauft werden // 關掉 = guān diào = abschalten, ausschalten, abstellen // 掉頭 = diào tóu = wenden
0855-@	罩	罩	zhào	zudecken; Deckel, Überzug	zudecken/Deckel	Netz/Auge* (罒) + herausragend/hoch* (卓)	Netz/Auge* + herausragend/hoch*	Ein 卓 hoch angeordnetes Objekt, daß eine Funktion ähnlich einem 罒 Netz hat: ein 罩 Deckel oder etwas anderes, das etwas 罩 zudeckt.	罩子 = zhào zi = Haube, Kappe, Deckel // 口罩 = kǒu zhào = Mundschutz // 燈罩 = dēng zhào = Lampenschirm
0856-@	凡	凡	fán	jeder, gewöhnlich	alle/jeder			Das ursprüngliche Zeichen war das Bild eines rechteckigen Gebiets, das 凡 alle und 凡 jeden umschloß. Andere Interpretation sehen ein Segeltuch (heutiges Zeichen: 帆).	凡是 = fán shì = jedes, jegliches // 平凡 = píng fán = gewöhnlich, alltäglich, einfach
0857-@	帆	帆	fān	Segel	Segel	Tuch (巾) + alle/jeder (凡)	Tuch + alle/jeder	Ein 帆 Segel aus 巾 Tuch, so groß, daß es 凡 alles bedecken kann.	帆船 = fān chuán = Segelboot
0858-@	風	风	fēng	Wind	Wind	alle/jeder (凡) + Insekt/Wurm* (虫)	alle/jeder + Insekt/Wurm*	帆/凡 Segel und 虫 Insekten werden durch den 風 Wind beeinflußt.	颳風 = guā fēng = (Wind) wehen // 風景 = fēng jǐng = Landschaft // 電風扇 = diàn fēng shàn = Ventilator
0859-@	異	异	yì	anders, außergewöhnlich	ungewöhnlich	Gehirn/Kopf* (囟甶田) + gemeinsam (共)	Gehirn/Kopf* + gemeinsam	Bild einer 異 ungewöhnlich aussehenden Person mit Maske über dem 田 Kopf und zwei (共 gemeinsam) großen Händen.	異常 = yì cháng = äußerst, sehr; ungewöhnlich, abnorm // 日新月異 = rì xīn yuè yì = sich in unglaublich schnellem Tempo verändern [Redensart]  // 異口同聲 = yì kǒu tóng shēng = wie aus einem Munde; einstimmig [Redensart]
0860-@	翼	翼	yì	Flügel	Flügel	zwei-Federn (羽) + ungewöhnlich (異)	zwei-Federn + ungewöhnlich	Die 異 ungewöhnlichen 羽 Federn eines Vogels dienen nicht zum Schmuck, sondern zum Fliegen: 翼 Flügel.	機翼 = jī yì = Tragfläche // 左翼 = zuǒ yì = linker Flügel, die "Linke" // 右翼 = yòu yì = rechter Flügel, die "Rechten"
0861-1	十 plus 戈				sich-bemühen*			Nicht mit einer, sondern mit 十 zehn 戈 Hellebarden kämpfen: das heißt sich wirklich zu bemühen (十 plus 戈). Komponente z. B. in 載, 戴, 裁, 截.	
0861-@	戴	戴	dài	aufsetzen, tragen	aufsetzen/tragen	sich-bemühen* (十 plus 戈) + ungewöhnlich (異)	sich-bemühen* + ungewöhnlich	Sich bemühen (十 plus 戈), 異 ungewöhnlich zu sein: etwas 戴 aufsetzen, 戴 tragen.	戴帽子 = dài mào zi = Hut/Mütze aufsetzen/tragen // 愛戴 = ài dài = jmd. verehren und lieben // 戴綠帽子 = dài lǜ mào zi = jmd. Hörner aufsetzen
0862-@	裁	裁	cái	schneiden, entscheiden	schneiden/entscheiden	sich-bemühen* (十 plus 戈) + Kleidung (衣衤)	sich-bemühen* + Kleidung	Sich bemühen (十 plus 戈), eine gute 衣 Kleidung herzustellen und dabei den Stoff gut zu 裁 schneiden/schneidern. Auch in der Bedeutung: 裁 entscheiden, urteilen.	裁定 = cái dìng = Entscheid; entscheiden, verordnen // 裁員 = cái yuán = (Angestellte) entlassen; Stellenabbau // 獨裁 = dú cái = Diktatur, Despotismus
0863-@	載	载	1) zǎi / 2) zài	1) (niederschreiben, registrieren) / 2) tragen, beladen sein mit	befördern/registrieren	sich-bemühen* (十 plus 戈) + Fahrzeug (車)	sich-bemühen* + Fahrzeug	Sich bemühen (十 plus 戈) im Umgang mit 車 Fahrzeugen: sie beladen, etwas 載 befördern. In der übertragenen Bedeutung: "載 registrieren, Jahr" (hier ist die Zeit das Fahrzeug).	下載 = xià zǎi = runterladen, downloaden [Computer] // 載重 = zài zhòng = Beladung, Ladekapazität // 記載 = jì zài = Bericht; Protokoll; eintragen, niederschreiben // 載運 = zài yùn = Transport; transportieren
0864-@	栽	栽	zāi	pflanzen, aufstellen	anpflanzen	sich-bemühen* (十 plus 戈) + Baum/Holz (木)	sich-bemühen* + Baum/Holz	Sich bemühen (十 plus 戈) mit 木 Bäumen (und anderen Pflanzen): 栽 (an)pflanzen, aufstellen.	栽種 = zāi zhòng = anpflanzen // 栽培 = zāi péi = anbauen, kultivieren, züchten // 盆栽 = pén zāi = Topfpflanze, Bonsai
0865-@	呈	呈	chéng	einreichen, unterbreiten, ersuchen	präsentieren	Mund (口) + fest-stehen* (呈 ohne 口)	Mund + fest-stehen*	Fest stehen (呈 ohne 口) und mit dem 口 Mund etwas 呈 präsentieren, einreichen, unterbreiten.	呈請 = chéng qǐng = beantragen, nachsuchen // 呈現 = chéng xiàn = aufführen, auftreten, zeigen // 呈報 = chéng bào = einen Bericht erstatten, vorlegen
0866-@	鐵	铁	tiě	Eisen	Eisen	Gold/Metall (金) + sich-bemühen* (十 plus 戈) + präsentieren (呈)	Gold/Metall + sich-bemühen* + präsentieren	Nach vielen Bemühungen (十 plus 戈) wurde ein 金 Metall entdeckt und 呈 präsentiert, das eine neue Ära einleitete: die 鐵 Eisen-Zeit.	地鐵 = dì tiě = U-Bahn // 鐵路 = tiě lù = Eisenbahn // 地下鐵 = dì xià tiě = U-Bahn, Metro
0867-1	宛				gebogen*			Der Körper einer 卩 knienden Person - abends (beim 夕 Halbmond) in einem 宀 Haus - ist 宛 gebogen.	
0867-@	碗	碗	wǎn	Schüssel, Schale	Schale/Schüssel	Stein (石) + gebogen* (宛)	Stein + gebogen*	宛 Gebogenes 石 Stein-Gut: eine 碗 Schüssel oder 碗 Schale.	洗碗機 = xǐ wǎn jī = Geschirrspülmaschine // 鐵飯碗 = tiě fàn wǎn = sichere Anstellung (z. B. Arbeitsstelle beim Staat) // 洗碗 = xǐ wǎn = Geschirr spülen
0868-1	祭				opfern*			Eine 又 Hand hält 月 Fleisch über dem 示 Altar zur 祭 Opferung.	
0868-@	際	际	jì	(Grenze, Zeit, Anlaß, Schicksal)	Grenze/zwischen	Hügel* (阜阝 (li)) + opfern* (祭)	Hügel* + opfern*	Eine 祭 Opferung hoch oben auf einem 阝 Hügel: an der 際 Grenze 際 zwischen Menschen und Gottheiten.	國際 = guó jì = international // 實際 = shí jì = Wirklichkeit // 交際 = jiāo jì = Kommunikation, Umgang
0869-@	察	察	chá	(untersuchen)	inspizieren	Dach* (宀) + opfern* (祭)	Dach* + opfern*	Eine rituelle Handlung wie eine 祭 Opferung unter einem 宀 Dach erforderte im Vorfeld eine gründliche 察 Inspektion aller Vorbereitungen.	警察 = jǐng chá = Polizei, Polizist // 觀察 = guān chá = beobachten // 察看 = chá kàn = beobachten
0870-@	擦	擦	cā	abwischen, auftragen, streifen, berühren	reiben/wischen	Hand (手扌) + inspizieren (察)	Hand + inspizieren	Um etwas mit den 扌 Händen ganau 察 inspizieren zu können, muß man zuweilen 擦 reiben oder 擦 wischen.	擦傷 = cā shāng = Schramme, Kratzer; sich schürfen, sich schrammen // 擦油 = cā yóu = ölen, schmieren, einfetten, Creme auftragen // 擦乾淨 = cā gān jìng = putzen, sauberwischen
0871-@	班	班	bān	Klasse, Team, Schicht	Klasse/Dienst/Team	Jade (玉王) + Messer (刀刂) + Jade (玉王)	Jade + Messer + Jade	玉/王 Jade wird vom Herrscher mit einem 刂 Messer aufgeteilt und verschiedenen 班 Gruppen/Klassen (Lehnsherren) als Insignien verliehen.	上班 = shàng bān = zur Arbeit gehen, mit der Arbeit anfangen, bei der Arbeit sein // 航班 = háng bān = Flugnummer; Linienflug // 加班 = jiā bān = Überstunden machen
0872-@	罷	罢	bà	aufhören, fertig	aufhören	Netz/Auge* (罒) + fähig/können (能)	Netz/Auge* + fähig/können	Eine 能 fähige Person ist gefangen in einem 罒 Netz von Anklagen: sie 罷 hört auf, ist fertig. - Andere Interpretation: ein 熊 Bär (hier ohne 灬) ist in einem 罒 Netz gefangen; er 罷 hört auf, frei zu sein.	罷工 = bà gōng = streiken // 罷課 = bà kè = den Unterricht boykottieren // 罷免 = bà miǎn = zurückrufen; Rückruf
0873-@	擺	摆	bǎi	stellen, arrangieren, feststellen, schwenken, pendeln	plazieren/feststellen	Hand (手扌) + aufhören (罷)	Hand + aufhören	Nachdem mit den 扌 Händen etwas ordentlich 擺 plaziert worden ist, kann man 罷 aufhören, ist 罷 fertig.	大搖大擺 = dà yáo dà bǎi = mit gespreizten Schritten einhergehen [Redensart] // 擺架子 = bǎi jià zi = sich groß aufspielen // 擺攤子 = bǎi tān zi = einen Verkaufsstand aufmachen; großen Aufwand treiben
0874-1	帛				helles-Tuch*			白 Weißes bzw. helles 巾 Tuch: 帛.	
0874-@	棉	棉	mián	Baumwolle, wattiert	Baumwolle	Baum/Holz (木) + helles-Tuch* (帛)	Baum/Holz + helles-Tuch*	棉 Baumwolle von einem 木 Baum - daraus macht man 帛 helles Tuch.	棉花 = mián huā = Baumwolle // 棉衣 = mián yī = wattierte Jacke, gefütterte Jacke // 棉花棒 = mián huā bàng = Wattestäbchen
0875-@	錦	锦	jǐn	Brokat, hell und schön	Brokat	Gold/Metall (金) + helles-Tuch* (帛)	Gold/Metall + helles-Tuch*	錦 Brokat ist mit 金 Gold oder Silber durchstickte Seide (z. B. ein feines 帛 helles Tuch) und ist 錦 hell und schön.	什錦 = shí jǐn = verschieden
0876-@	幫	帮	bāng	helfen; für (jmd.); Clique, Bande	helfen/Bande	Siegel (封) + helles-Tuch* (帛)	Siegel + helles-Tuch*	In einer 幫 Bande 幫 hilft man sich gegenseitig - die einen geben wertvolles 帛 helles Tuch, die anderen geben 封 gesiegelte Vorteile zurück.	幫助 = bāng zhù = jm. helfen, jn. unterstützen, Hilfe leisten // 幫忙 = bāng máng = helfen // 幫工 = bāng gōng = Gehilfe
0877-@	市	市	shì	Stadt, Markt	Markt/Stadt	schützen* (亠) + Tuch (巾)	schützen* + Tuch	亠 Schutz und viele Fahnen aus 巾 Tuch: ein 市 Markt, eine 市 Stadt.	超市 = chāo shì = Supermarkt [Abk.] // 城市 = chéng shì = Stadt // 市場 = shì chǎng = Markt, Marktplatz
0878-@	般	般	bān	Art und Weise	Art/Weise	Barke* (舟) + schlagen/töten* (殳)	Barke* + schlagen/töten*	Ursprünglich bedeutete dieses Zeichen ein 舟 Boot 殳 schlagen (= rudern o. ä.), also etwas transportieren (heute: 搬). Die Möglichkeit, Waren zu transportieren, bedeutete, daß Waren verschiedener 般 Art (aus unterschiedlicher Herkunft) zur Verfügung standen.	一般 = yī bān = gewöhnlich, üblich, normalerweise; mittelmäßig, nichts Besonderes (sein) // 一般來說 = yī bān lái shuō = allgemein gesagt, im großen und ganzen, im allgemeinen // 百般 = bǎi bān = auf jede mögliche Weise, mit allen Mitteln
0879-@	搬	搬	bān	befördern, fortschaffen	transportieren	Hand (手扌) + Art/Weise (般)	Hand + Art/Weise	Mit den 扌 Händen ein 舟 Boot 殳 schlagen (= rudern o. ä.) bedeutet: etwas (auf dem Wasser) 搬 transportieren. Hinweis: 舟+殳 bedeutet heute 般 Art oder Weise.	搬家 = bān jiā = umziehen; Umzug // 搬運 = bān yùn = befördern, transportieren
0880-@	區	区	qū	Gebiet, Region, Bezirk, unterscheiden, einteilen	Region/Gebiet	Korb* (匚) + Ware (品)	Korb* + Ware	Ein 匚 Korb oder Regal mit gelagerten 品 Waren. Daraus abgeleitet auch größere "Lager": 區 Region, 區 Gebiet. Eine andere Interpretaton: 區 Gebiet = ein 匚 Ort, wo viele 品 Münder wohnen, wo viele 品 Dinge lagern.	區別 = qū bié = differenzieren, Unterschied // 地區 = dì qū = Gebiet, Zone, Region, Bezirk // 郊區 = jiāo qū = Vorortgebiet
0881-@	歐	欧	ōu	(Europa)	Europa	Region/Gebiet (區) + fehlen/gähnen (欠)	Region/Gebiet + fehlen/gähnen	歐 ōu klingt ähnlich wie "Eu" von Europa. Oder: Die 區 Region im Westen (links im Zeichen), wo die Menschen noch 欠 gähnen oder schlafen, wenn in China bereits wieder Tag ist, heißt 歐 Europa.	歐元 = ōu yuán = Euro, [europäische Währung] // 歐洲 = ōu zhōu = Europa // 歐盟 = ōu méng = Europäische Union, EU
0882-1	乂				Schere*			Bild einer 乂 Schere oder von zwei Messerklingen.	
0882-@	凶	凶	xiōng	böse, schrecklich	schrecklich	Schere* (乂) + Grube* (凵)	Schere* + Grube*	凶 Schreckliches oder Böses: ein Fall in eine 凵 Grube, Verletzungen durch eine 乂 Schere oder zwei 乂 Messerklingen.	行凶 = xíng xiōng = eine Gewalttat verüben // 凶手 = xiōng shǒu = Mörder // 凶神 = xiōng shén = Teufel, Dämon
0883-1	喿				durcheinander*			品 Drei Münder in einem 木 Baum, d. h. Vögel zwitschern 喿 durcheinander. Das Zeichen für zwitschern ist heute 噪.	
0883-@	操	操	cāo	(üben, trainieren, in der Hand halten)	handhaben/drillen	Hand (手扌) + durcheinander* (喿)	Hand + durcheinander*	Mit den 扌 Händern das 喿 Durcheinander in den Griff bekommen: etwas 操  handhaben, betreiben, drillen, trainieren.	操場 = cāo chǎng = Sportplatz // 操心 = cāo xīn = befürchten, sich kümmern um, sich sorgen; Sorge // 操作系統 = cāo zuò xì tǒng = Betriebssystem [Computer]
0884-@	燥	燥	zào	trocken, langweilig	trocken/langweilig	Feuer (火灬) + durcheinander* (喿)	Feuer + durcheinander*	Die Luft in der Nähe eines 火 Feuers wird 喿 durcheinander gewirbelt und 燥 trocknet die Dinge in der Umgebung. Wie im Deutschen gilt auch: 燥 trocken = 燥 langweilig.	乾燥 = gān zào = trocknen; trocken; langweilig
0885-@	澡	澡	zǎo	baden, duschen	baden/duschen	Wasser (水氵) + durcheinander* (喿)	Wasser + durcheinander*	氵 Wasser spritzt beim 澡 Baden oder 澡 Duschen 喿 durcheinander.	洗澡 = xǐ zǎo = baden, ein Bad nehmen // 洗澡間 = xǐ zǎo jiān = Badezimmer // 澡堂 = zǎo táng = (öff.) Badehaus, Badeanstalt
0886-@	飛	飞	fēi	fliegen	fliegen			Bild eines Kranichs (ein sehr häufiger Vogel in China) von hinten gesehen. Oben der Kopf und der gebogene Hals wie beim Flug. Unten der Schwanz. Auf beiden Seiten die flatternden Flügel.	飛機 = fēi jī = Flugzeug // 起飛 = qǐ fēi = starten, abheben, [Flugzeug] // 不坐飛機去 = bù zuò fēi jī qù = nicht mit dem Flugzeug fliegen
0887-1	卂				rasch-fliegen*			Bild eines fliegenden Vogels, aber in der Darstellung simpler als in 飛: 卂 rasch fliegen.	
0887-@	迅	迅	xùn	(schnell, flink)	flink	rasch-fliegen* (卂) + rasch-gehen* (辵辶)	rasch-fliegen* + rasch-gehen*	辶 Rasch gehen und 卂 rasch fliegen zusammen in einem Zeichen bedeutet: 迅 flink, schnell. Was sonst?	迅速 = xùn sù = schnell, geschwind
0888-@	訊	讯	xùn	fragen, verhören	verhören/befragen	Rede (言) + rasch-fliegen* (卂)	Rede + rasch-fliegen*	言 Geredetes 卂 fliegt rasch hin und her: ein 訊 Verhör, eine 訊 Befragung.	通訊 = tōng xùn = Kommunikation // 喜訊 = xǐ xùn = frohe Nachricht, frohe Botschaft // 通訊社 = tōng xùn shè = Nachrichtenagentur
0889-@	泰	泰	tài	(erhaben, höchst, friedlich, heil)	erhaben/höchst	empfangen/halten* (春 ohne 日) + Wasser (水氵)	empfangen/halten* + Wasser	Ein 泰 erhabener Moment ist der Empfang (春 ohne 日) heiligen 水 Wassers.	泰國 = tài guó = Thailand // 泰然 = tài rán = gelassen, ruhig // 泰山 = tài shān = Taishan [berühmter heiliger Berg in der Provinz Shandong]
0890-@	奉	奉	fèng	(höflich überreichen/in Empfang nehmen)	höflich-überreichen	empfangen/halten* (春 ohne 日) + Hand (手扌)	empfangen/halten* + Hand	Etwas 奉 höflich überreichen oder empfangen (春 ohne 日) wird durch eine zusätzliche 扌 Hand verdeutlicht.	奉命 = fèng mìng = einen Befehl entgegennehmen, einem Befehl gehorchen; auf Befehl // 奉承 = fèng chéng = jmd. schmeicheln, sich einschmeicheln, jmd. Honig um den Bart schmieren
0891-@	棒	棒	bàng	Stock, Knüppel; Prima!, Klasse!	Stock/prima	Baum/Holz (木) + höflich-überreichen (奉)	Baum/Holz + höflich-überreichen	Ein (großer) 棒 Stock, Stab, Knüppel aus 木 Holz, der mit zwei Händen gehalten werden muß (wie beim 奉 Überreichen). Wenn man mit dem Stock getroffen hat, sagt man: 棒 Toll! Klasse! Prima! - Die Aussprache hört sich an wie ein Schlag mit dem Stock: 棒 BANG!	當頭一棒 = dāng tóu yī bàng = eins auf den Kopf bekommen // 太棒了！ = tài bàng le ! = Phantastisch! Großartig! Geil! Toll! Stark! // 太棒了 = tài bàng le = prima, super, ganz toll!
0892-1	屯				gestoppt*			Das Wachstum einer 屮 Pflanze ist durch ein 一 Hindernis 屯 gestoppt.	
0892-@	頓	顿	dùn	[ZEW für Mahlzeiten], Pause	Pause	gestoppt* (屯) + Kopfmensch/Seite (頁)	gestoppt* + Kopfmensch/Seite	Ein 頁 Mensch mit einem großen Kopf hat seine Arbeit 屯 gestoppt und macht eine 頓 Pause, um z. B. eine Mahlzeit (Zählwort: 頓) zu essen.	頓時 = dùn shí = sogleich, gleich // 三頓飯 = sān dùn fàn = drei Mahlzeiten // 頓號 = dùn hào = Komma (zur Trennung von Listenelementen)
0893-@	純	纯	chún	rein, sauber, geschickt	pur/einfach	Seide* (糸) + gestoppt* (屯)	Seide* + gestoppt*	糸 Seide, bei der eine Weiterverarbeitung 屯 gestoppt wurde, ist 純 pur, rein, einfach.	純潔性 = chún jié xìng = Reinheit // 單純 = dān chún = einfach, naiv, harmlos // 純潔 = chún jié = rein, klar
0894-@	噸	吨	dūn	Tonne [Gewicht]	Tonne	Mund (口) + Pause (頓)	Mund + Pause	Die Gewichtseinheit 噸 Tonne wird 口 ausgesprochen wie das Zeichen 頓 Pause = "dun", ähnlich der engl. Aussprache "ton".	公噸 = gōng dūn = (metrische) Tonne (1000 kg)
0895-@	段	段	duàn	Abschnitt, [ZEW]	Abschnitt	Strich* (丿) + Stock* (丨) + eins (一) + eins (一) + eins (一) + schlagen/töten* (殳)	Strich* + Stock* + eins + eins + eins + schlagen/töten*	Ein 丨 Stock wird mit vier 殳 Schlägen (丿,一,一,一) in 段 Abschnitte aufgeteilt.	階段 = jiē duàn = Stufe, Phase, Etappe, Stadium, Periode // 手段 = shǒu duàn = Methode, Trick // 一段時間 = yī duàn shí jiān = eine (kurze) Zeitspanne
0896-1	亥				harte-Schale*			Eine Komponente, die schwierig zu erklären ist. Einige sehen ein Schwein, andere zwei Personen. Mit etwas Phantasie sieht man im Zeichen zwei Flächen, in die kein Eindringen möglich ist, deshalb 亥 harte Schale.	
0896-@	刻	刻	kè	Viertel, schnitzen, Moment	schnitzen/Viertel	harte-Schale* (亥) + Messer (刀刂)	harte-Schale* + Messer	Einen Gegenstand mit 亥 harter Schale mit einem 刂 Messer bearbeiten: 刻 schnitzen. Was zurückbleibt, ist oft nur ein 刻 Viertel oder weniger.	立刻 = lì kè = sofort // 刻苦 = kè kǔ = beharrlich, fleißig // 深刻 = shēn kè = einschneidend, tief
0897-@	核	核	hé	Kern-, Nuklear-	Kern	Baum/Holz (木) + harte-Schale* (亥)	Baum/Holz + harte-Schale*	Die Frucht eines 木 Baumes enthält meist 亥 harte 核 Kerne.	核能 = hé néng = Kernenergie // 核電站 = hé diàn zhàn = Atomkraftwerk, Kernkraftwerk // 核電 = hé diàn = Atomkraft
0898-@	該	该	gāi	sollen, müssen, oben erwähnt	sollen/müssen	Rede (言) + harte-Schale* (亥)	Rede + harte-Schale*	Mit einer 言 Rede die 亥 harte Schale des Gegenüber aufbrechen: du 該 sollst ..., du 該 mußt ...	應該 = yīng gāi = sollen; verpflichtet sein // 該當 = gāi dāng = sollen, verdienen, gebühren // 活該 = huó gāi = verdientermaßen
0899-@	孩	孩	hái	Kind	Kind	Kind/Nomensuffix (子) + harte-Schale* (亥)	Kind/Nomensuffix + harte-Schale*	Ein 子 Kind hat vernünftigen Argumenten gegenüber oft eine "亥 harte Schale" und macht, was es will. Das 子 kindliche Lachen klingt außerdem wie "亥 hai", deshalb: 孩 Kind.	孩子 = hái zi = Kind // 小孩兒 = xiǎo hái r = Kleinkind, Kind // 一孩政策 = yī hái zhèng cè = Ein-Kind-Politik
0900-@	咳	咳	1) hāi / 2) ké	1) seufzen, ach! / 2) (husten)	husten/seufzen	Mund (口) + harte-Schale* (亥)	Mund + harte-Schale*	亥 Harte Fremdkörper durch den 口 Mund auswerfen: 咳 husten. 亥 Harte Verspannungen/Probleme durch den 口 Mund artikulieren: 咳 seufzen.	咳嗽 = ké sòu = Husten; husten // 乾咳 = gān ké = trockener Husten
0901-1	專 ohne 寸				Ochse-im-Joch*			Bild eines Ochsen im Joch: 專 ohne 寸.	
0901-@	專	专	zhuān	speziell	speziell/konzentriert	Ochse-im-Joch* (專 ohne 寸) + Daumen/Hand (寸)	Ochse-im-Joch* + Daumen/Hand	In diesem Zeichen führt eine 寸 Hand (bzw. ein Daumen) einen Ochsen im Joch (專 ohne 寸). Es symbolisiert Hingabe und 專 Konzentration, eine 專 spezielle Aufgabe zu erledigen.	專門 = zhuān mén = speziell // 專業 = zhuān yè = Fach, Hauptfach, Fachgebiet // 專家 = zhuān jiā = Experte, Spezialist, Fachmann
0902-@	團	团	tuán	Gruppe, [ZEW]	Gruppe	Umzäunung* (囗) + speziell/konzentriert (專)	Umzäunung* + speziell/konzentriert	專 Konzentriert in einem 囗 abgezäunten Gebiet, also in einer 團 Gruppe, arbeiten.	團結 = tuán jié = Einheit; vereinigen // 上海京劇團 = shàng hǎi jīng jù tuán = Shanghaier Peking-Oper-Ensemble // 團長 = tuán zhǎng = Regimentskommandeur, Delegationsleiter
0903-@	傳	传	1) chuán / 2) zhuàn	1) weitergeben, verbreiten / 2) Biografie	weitergeben/Biografie	Person (人亻) + speziell/konzentriert (專)	Person + speziell/konzentriert	專 Konzentrierte Informationen über eine 亻 Person weitergeben: als 傳 Biografie; ausgedehnt auf beliebige Informationen usw.: 傳 weitergeben, überliefern, verbreiten.	傳真 = chuán zhēn = Fax; faxen // 傳播 = chuán bō = verbreiten, ausbreiten, in die Welt setzen // 傳統 = chuán tǒng = Tradition // 傳記 = zhuàn jì = Biografie
0904-@	磚	砖	zhuān	Ziegel	Ziegel	Stein (石) + speziell/konzentriert (專)	Stein + speziell/konzentriert	Ein für 專 spezielle Zwecke, z. B. dem Hausbau, geschaffener 石 Stein: ein 磚 Ziegel, eine Fliese - aber kein Dachziegel = 瓦!	磚頭 = zhuān tóu = Ziegelstein // 磚塊 = zhuān kuài = Ziegelstein
0905-@	轉	转	1) zhuǎn / 2) zhuàn	1) sich umdrehen / 2) sich drehen, rotieren	sich-umdrehen/rotieren	Fahrzeug (車) + speziell/konzentriert (專)	Fahrzeug + speziell/konzentriert	Einen Ochsen 專 konzentriert im Kreis (eine Form wie das Rad eines 車 Fahrzeugs) führen: (sich) 轉 (um-)drehen, auch 轉 rotieren.	轉變 = zhuǎn biàn = ändern, wandeln, verwandeln // 轉告 = zhuǎn gào = weitersagen // 一轉眼 = yī zhuǎn yǎn = in einem Augenblick, schnell // 轉動 = zhuàn dòng = sich drehen, umlaufen, umkreisen
0906-@	哦	哦	ó	Oh - wirklich? [halb glaubend, halb zweifelnd]	oh-wirklich?	Mund (口) + ich (我)	Mund + ich	Etwas, das mit dem 口 Mund gesagt wird und ähnlich "我 ich" (wǒ) ausgesprochen wird: 哦 Oh, wirklich?	
0907-@	占	占	1) zhān / 2) zhàn	1) (weissagen) / 2) erobern, einnehmen, festsetzen	Weissagung/besetzen	weissagen* (卜) + Mund (口)	weissagen* + Mund	Ein 卜 Schildkrötenorakel mit dem 口 Mund interpretieren: eine 占 Weissagung. Die heute üblichere Bedeutung "占 besetzen" kann man so sehen: ein 口 Klotz mit einem 卜 Fähnchen, der zeigt, daß ein Ort 占 besetzt, erobert ist.	占星 = zhān xīng = aus den Sternen vorhersagen; Astrologie // 侵占 = qīn zhàn = mit Macht besetzen; Usurpation
0908-@	佔	占	zhàn	besetzen, erobern	besetzen	Person (人亻) + Weissagung/besetzen (占)	Person + Weissagung/besetzen	In diesem Zeichen wird 占 durch eine 亻 Person, die etwas 佔/占 besetzt oder erobert, zusätzlich verdeutlicht.	佔有 = zhàn yǒu = besitzen, behalten, haben // 獨佔 = dú zhàn = Monopol // 佔線 = zhàn xiàn = die Leitung ist besetzt
0909-@	站	站	zhàn	stehen, stehenbleiben, Bahnhof, Station	stehen/stoppen	stehen (立) + Weissagung/besetzen (占)	stehen + Weissagung/besetzen	Eine 立 stehende Person 占 besetzt einen Ort: 站 stehen, stoppen; auch: 站 Station, Haltestelle.	火車站 = huǒ chē zhàn = Bahnhof // 加油站 = jiā yóu zhàn = Tankstelle // 網站 = wǎng zhàn = Internetpräsenz, Website
